code,main_accords_pct,top_notes_pct,middle_notes_pct,base_notes_pct,sentiment_pct,gender_score,longevity_score,sillage_score,day_night_score,season_score,scent_dna
m4,"{'white floral': 46.3, 'amber': 33.3, 'floral': 20.4}",{'Jasmine Sambac': 0.4386},{'Cashmeran': 0.2193},{'Amber': 0.3421},"{'love': 45.5, 'like': 30.5, 'ok': 5.5, 'dislike': 15.9, 'hate': 2.7}",11.3,75.7,65.7,67.4,45.3,"A for women perfume with white floral, amber, floral accords. Features notes of Jasmine Sambac. Good for {'winter': 92.6734, 'spring': 39.8112, 'summer': 23.1575, 'fall': 76.4528, 'day': 48.3935, 'night': 100.0}."
m5,"{'fruity': 16.6, 'sweet': 13.8, 'vanilla': 12.6, 'citrus': 12.5, 'fresh': 12.1, 'green': 11.5, 'fresh spicy': 11.0, 'lactonic': 10.0}","{'Apple': 0.4211, 'Whipped Cream': 0.3684, 'Bergamot': 0.2105}",{},{},"{'love': 44.6, 'like': 44.2, 'ok': 3.1, 'dislike': 8.0, 'hate': 0.0}",3.3,43.1,37.6,24.9,53.4,"A for women perfume with fruity, sweet, vanilla, citrus, fresh, green, fresh spicy, lactonic accords. Features notes of Apple, Whipped Cream, Bergamot. Good for {'winter': 23.1544, 'spring': 79.5302, 'summer': 92.2819, 'fall': 34.5638, 'day': 100.0, 'night': 33.2215}."
m8,"{'white floral': 15.5, 'floral': 13.3, 'fruity': 12.7, 'sweet': 9.9, 'fresh': 9.7, 'aquatic': 8.5, 'citrus': 8.3, 'powdery': 7.9, 'ozonic': 7.1, 'tuberose': 7.1}","{'Pear': 0.0726, 'Melon': 0.0657, 'Magnolia': 0.0644, 'Peach': 0.0579, 'Mandarin Orange': 0.0467, 'Bergamot': 0.0463}","{'Jasmine': 0.0865, 'Lily-of-the-Valley': 0.0657, 'Tuberose': 0.0597, 'Freesia': 0.0553, 'Rose': 0.0527, 'Orchid': 0.0471, 'Violet': 0.0463, 'Plum': 0.0458}","{'Musk': 0.0532, 'Vanilla': 0.0471, 'Cedar': 0.0437, 'Blackberry': 0.0432}","{'love': 30.9, 'like': 41.2, 'ok': 6.2, 'dislike': 20.6, 'hate': 1.2}",3.9,60.5,46.2,38.6,51.2,"A for women perfume with white floral, floral, fruity, sweet, fresh, aquatic, citrus, powdery, ozonic, tuberose accords. Features notes of Pear, Melon, Magnolia, Peach, Mandarin Orange, Bergamot. Good for {'winter': 47.3678, 'spring': 92.1831, 'summer': 54.3625, 'fall': 66.4744, 'day': 100.0, 'night': 62.8543}."
m9,"{'rose': 14.9, 'fruity': 12.8, 'vanilla': 11.9, 'amber': 11.0, 'tropical': 8.9, 'fresh': 8.6, 'sweet': 8.2, 'woody': 8.0, 'oud': 7.9, 'floral': 7.9}","{'Litchi': 0.0938, 'Pear': 0.0758, 'Bergamot': 0.0655, 'Grapefruit': 0.0562, 'Pink Pepper': 0.0551}","{'Turkish Rose': 0.1091, 'Agarwood (Oud)': 0.072, 'Incense': 0.0715}","{'Vanilla': 0.0938, 'Amber': 0.0726, 'Woody Notes': 0.0687, 'Musk': 0.0567, 'Vetiver': 0.0546, 'Evernyl': 0.0546}","{'love': 54.1, 'like': 22.7, 'ok': 10.3, 'dislike': 9.7, 'hate': 3.2}",5,75.1,60.7,47.7,48.4,"A for women perfume with rose, fruity, vanilla, amber, tropical, fresh, sweet, woody, oud, floral accords. Features notes of Litchi, Pear, Bergamot, Grapefruit, Pink Pepper. Good for {'winter': 90.3241, 'spring': 100.0, 'summer': 56.5524, 'fall': 93.8938, 'day': 96.5712, 'night': 88.1165}."
m12,"{'caramel': 20.1, 'vanilla': 19.7, 'white floral': 15.5, 'sweet': 14.3, 'salty': 10.9, 'powdery': 10.1, 'balsamic': 9.5}",{'Jasmine': 0.2222},"{'Caramel': 0.313, 'Salt': 0.1565}",{'Vanilla': 0.3083},"{'love': 52.9, 'like': 27.0, 'ok': 11.1, 'dislike': 6.9, 'hate': 2.1}",5.3,58.6,41.3,64.3,48.2,"A for women perfume with caramel, vanilla, white floral, sweet, salty, powdery, balsamic accords. Features notes of Jasmine. Good for {'winter': 100.0, 'spring': 43.6932, 'summer': 21.5943, 'fall': 97.8809, 'day': 54.3895, 'night': 97.78}."
m15,"{'white floral': 59.2, 'tuberose': 40.8}",{'Jasmine': 0.3976},{'Tuberose': 0.4016},{'Rangoon Creeper': 0.2008},"{'love': 31.3, 'like': 38.6, 'ok': 10.0, 'dislike': 17.0, 'hate': 3.1}",6.3,54.4,43.2,24.7,50.7,"A for women perfume with white floral, tuberose accords. Features notes of Jasmine. Good for {'winter': 24.8442, 'spring': 100.0, 'summer': 57.7916, 'fall': 41.9412, 'day': 91.8077, 'night': 30.187}."
m16,"{'sweet': 13.0, 'white floral': 12.7, 'warm spicy': 12.1, 'vanilla': 12.0, 'amber': 9.0, 'cacao': 8.8, 'woody': 8.5, 'tuberose': 8.2, 'almond': 7.9, 'powdery': 7.8}","{'Almond': 0.0627, 'Coffee': 0.0556, 'Bergamot': 0.0429, 'Lemon': 0.0388}","{'Tuberose': 0.0653, 'Jasmine Sambac': 0.062, 'Orange Blossom': 0.0429, 'Bulgarian Rose': 0.0384, 'Orris': 0.0373}","{'Tonka Bean': 0.0747, 'Cacao': 0.0705, 'Vanilla': 0.0646, 'Praline': 0.0545, 'Sandalwood': 0.0437, 'Musk': 0.0437, 'Amber': 0.0429, 'Cashmere Wood': 0.0414, 'Patchouli': 0.0403, 'Cinnamon': 0.0403, 'Cedar': 0.0373}","{'love': 40.3, 'like': 33.5, 'ok': 9.7, 'dislike': 13.7, 'hate': 2.8}",5.4,62.2,48.2,70.9,47.5,"A for women perfume with sweet, white floral, warm spicy, vanilla, amber, cacao, woody, tuberose, almond, powdery accords. Features notes of Almond, Coffee, Bergamot, Lemon. Good for {'winter': 89.021, 'spring': 35.9963, 'summer': 21.1845, 'fall': 82.4405, 'day': 41.0644, 'night': 100.0}."
m17,"{'fresh spicy': 13.8, 'warm spicy': 12.8, 'white floral': 12.4, 'coconut': 11.6, 'lactonic': 9.1, 'woody': 8.5, 'powdery': 8.4, 'sweet': 8.0, 'fresh': 8.0, 'musky': 7.4}","{'Pepper': 0.1194, 'Ginger': 0.1034, 'Cardamom': 0.1027}","{'Coconut': 0.1397, 'Gardenia': 0.1229, 'Orange Blossom': 0.0719, 'Peony': 0.0698}","{'Sandalwood': 0.1013, 'Musk': 0.0866, 'Amber': 0.0824}","{'love': 39.7, 'like': 35.3, 'ok': 5.2, 'dislike': 18.3, 'hate': 1.6}",11.9,67.2,54.4,71.7,47.6,"A for women perfume with fresh spicy, warm spicy, white floral, coconut, lactonic, woody, powdery, sweet, fresh, musky accords. Features notes of Pepper, Ginger, Cardamom. Good for {'winter': 86.2771, 'spring': 29.7128, 'summer': 26.2023, 'fall': 76.802, 'day': 39.419, 'night': 100.0}."
m18,"{'citrus': 17.0, 'woody': 10.7, 'patchouli': 10.5, 'sweet': 10.4, 'white floral': 10.0, 'rose': 8.8, 'earthy': 8.3, 'vanilla': 8.1, 'warm spicy': 8.1, 'yellow floral': 8.0}","{'Orange': 0.0926, 'Mandarin Orange': 0.0767, 'Bergamot': 0.0757, 'Orange Blossom': 0.0725}","{'Turkish Rose': 0.0868, 'Jasmine': 0.0683, 'Mimosa': 0.0608, 'Ylang-Ylang': 0.0593}","{'Patchouli': 0.1058, 'White Musk': 0.0651, 'Vanilla': 0.0624, 'Vetiver': 0.0619, 'Tonka Bean': 0.0593, 'Opoponax': 0.0529}","{'love': 45.7, 'like': 35.6, 'ok': 5.0, 'dislike': 12.3, 'hate': 1.4}",6.2,71.8,57.3,40.5,49.7,"A for women perfume with citrus, woody, patchouli, sweet, white floral, rose, earthy, vanilla, warm spicy, yellow floral accords. Features notes of Orange, Mandarin Orange, Bergamot, Orange Blossom. Good for {'winter': 69.3031, 'spring': 85.3197, 'summer': 47.9311, 'fall': 80.5286, 'day': 100.0, 'night': 67.9568}."
m21,"{'sweet': 16.4, 'vanilla': 13.3, 'fruity': 10.7, 'patchouli': 9.4, 'woody': 9.4, 'white floral': 8.7, 'powdery': 8.6, 'iris': 7.9, 'earthy': 7.9, 'warm spicy': 7.7}","{'Black Currant': 0.1096, 'Pear': 0.0952}","{'Iris': 0.0992, 'Jasmine': 0.0832, 'Orange Blossom': 0.08}","{'Praline': 0.16, 'Vanilla': 0.1496, 'Patchouli': 0.1224, 'Tonka Bean': 0.1008}","{'love': 32.8, 'like': 31.8, 'ok': 7.2, 'dislike': 24.3, 'hate': 3.9}",2.6,73.6,62.3,50.6,45.8,"A for women perfume with sweet, vanilla, fruity, patchouli, woody, white floral, powdery, iris, earthy, warm spicy accords. Features notes of Black Currant, Pear. Good for {'winter': 100.0, 'spring': 53.978, 'summer': 30.0595, 'fall': 85.5097, 'day': 84.6728, 'night': 86.871}."
m22,"{'sweet': 18.0, 'fruity': 12.8, 'vanilla': 9.2, 'caramel': 9.2, 'warm spicy': 9.2, 'balsamic': 9.0, 'woody': 8.5, 'tropical': 8.3, 'patchouli': 8.1, 'amber': 7.9}","{'Pear': 0.055, 'Tangerine': 0.0456, 'Bergamot': 0.0427}","{'Strawberry': 0.064, 'Vanilla Orchid': 0.0584, 'Black Rose': 0.0584, 'Passionfruit': 0.052}","{'Praline': 0.0853, 'Caramel': 0.0764, 'Litchi': 0.0691, 'Vanilla': 0.0691, 'Patchouli': 0.0657, 'Incense': 0.0614, 'Coffee': 0.0559, 'Licorice': 0.0495, 'Coumarin': 0.0486, 'Papyrus': 0.0427}","{'love': 46.3, 'like': 32.9, 'ok': 5.6, 'dislike': 13.9, 'hate': 1.4}",3.7,71,59.5,73.1,44.8,"A for women perfume with sweet, fruity, vanilla, caramel, warm spicy, balsamic, woody, tropical, patchouli, amber accords. Features notes of Pear, Tangerine, Bergamot. Good for {'winter': 96.9515, 'spring': 25.3422, 'summer': 13.8946, 'fall': 78.1211, 'day': 36.8519, 'night': 100.0}."
r9,"{'citrus': 24.4, 'aromatic': 16.1, 'marine': 14.1, 'fresh spicy': 12.2, 'floral': 11.5, 'woody': 11.0, 'fresh': 10.7}","{'Lime': 0.0563, 'Lemon': 0.0517, 'Bergamot': 0.0474, 'Jasmine': 0.0428, 'Orange': 0.0422, 'Mandarin Orange': 0.0405, 'Neroli': 0.0375}","{'Sea Notes': 0.0659, 'Jasmine': 0.0428, 'Calone': 0.0392, 'Rosemary': 0.0366, 'Peach': 0.0359, 'Freesia': 0.0356, 'Hiacynth': 0.0352, 'Cyclamen': 0.0349, 'Violet': 0.0346, 'Coriander': 0.0346, 'Rose': 0.0343, 'Nutmeg': 0.0343, 'Mignonette': 0.0329}","{'White Musk': 0.0405, 'Cedar': 0.0385, 'Oakmoss': 0.0362, 'Patchouli': 0.0352, 'Amber': 0.0343}","{'love': 39.6, 'like': 44.1, 'ok': 6.6, 'dislike': 8.8, 'hate': 0.9}",85.2,47.6,33.2,18.2,54.9,"A for men perfume with citrus, aromatic, marine, fresh spicy, floral, woody, fresh accords. Features notes of Lime, Lemon, Bergamot, Jasmine, Orange, Mandarin Orange, Neroli. Good for {'winter': 10.268, 'spring': 68.5346, 'summer': 100.0, 'fall': 19.2134, 'day': 94.1002, 'night': 20.9885}."
r11,"{'vanilla': 20.9, 'warm spicy': 14.0, 'amber': 12.9, 'aromatic': 11.5, 'sweet': 11.1, 'balsamic': 10.6, 'lavender': 9.6, 'fresh spicy': 9.4}","{'Lavender': 0.1301, 'Cardamom': 0.1258, 'Black Pepper': 0.1129}","{'Incense': 0.1312, 'Patchouli': 0.1075}","{'Vanilla Pod': 0.2151, 'Tonka Bean': 0.1774}","{'love': 69.9, 'like': 19.6, 'ok': 5.6, 'dislike': 3.5, 'hate': 1.4}",86.6,74,59.3,69.1,45.5,"A for men perfume with vanilla, warm spicy, amber, aromatic, sweet, balsamic, lavender, fresh spicy accords. Features notes of Lavender, Cardamom, Black Pepper. Good for {'winter': 100.0, 'spring': 52.6178, 'summer': 19.5353, 'fall': 87.5, 'day': 41.5249, 'night': 92.8665}."
r12,"{'citrus': 15.5, 'fresh spicy': 12.4, 'woody': 12.4, 'aromatic': 10.7, 'amber': 10.2, 'smoky': 8.1, 'balsamic': 7.8, 'warm spicy': 7.6, 'green': 7.6, 'fresh': 7.6}","{'Grapefruit': 0.1013, 'Lemon': 0.0841, 'Mint': 0.0689, 'Pink Pepper': 0.0623}","{'Ginger': 0.0831, 'Nutmeg': 0.0588, 'Jasmine': 0.0532, 'Iso E Super': 0.0527}","{'Incense': 0.0866, 'Vetiver': 0.0648, 'Cedar': 0.0643, 'Sandalwood': 0.0603, 'Patchouli': 0.0557, 'Labdanum': 0.0532, 'White Musk': 0.0507}","{'love': 47.6, 'like': 35.7, 'ok': 5.2, 'dislike': 10.5, 'hate': 1.0}",90.5,59.2,41,46.7,53.5,"A for men perfume with citrus, fresh spicy, woody, aromatic, amber, smoky, balsamic, warm spicy, green, fresh accords. Features notes of Grapefruit, Lemon, Mint, Pink Pepper. Good for {'winter': 57.612, 'spring': 98.0372, 'summer': 89.5445, 'fall': 83.6185, 'day': 100.0, 'night': 87.4937}."
r13,"{'warm spicy': 14.4, 'fresh spicy': 11.8, 'woody': 11.2, 'aromatic': 11.2, 'lavender': 10.9, 'soft spicy': 9.8, 'cinnamon': 8.8, 'amber': 7.8, 'powdery': 7.2, 'balsamic': 6.9}","{'Nutmeg': 0.1137, 'Cinnamon': 0.1094, 'Cardamom': 0.0942, 'Grapefruit': 0.0741}",{'Lavender': 0.1439},"{'Licorice': 0.1266, 'Sandalwood': 0.0978, 'Amber': 0.0921, 'Patchouli': 0.0763, 'Haitian Vetiver': 0.0719}","{'love': 64.5, 'like': 18.7, 'ok': 7.1, 'dislike': 5.8, 'hate': 3.9}",94.9,87.1,71.4,65.4,45.9,"A for men perfume with warm spicy, fresh spicy, woody, aromatic, lavender, soft spicy, cinnamon, amber, powdery, balsamic accords. Features notes of Nutmeg, Cinnamon, Cardamom, Grapefruit. Good for {'winter': 100.0, 'spring': 52.0437, 'summer': 21.9243, 'fall': 88.4561, 'day': 47.8248, 'night': 90.5807}."
r16,"{'vanilla': 16.2, 'sweet': 15.1, 'amber': 11.7, 'cinnamon': 11.2, 'warm spicy': 10.7, 'powdery': 9.6, 'aromatic': 9.2, 'soft spicy': 8.6, 'caramel': 7.8}","{'Pink Pepper': 0.0821, 'Juniper': 0.0689, 'Violet': 0.0675}","{'Toffee': 0.1252, 'Cinnamon': 0.1146, 'Lavender': 0.0742, 'Sage': 0.0662}","{'Vanilla': 0.1325, 'Amber': 0.0987, 'Tonka Bean': 0.0954, 'Suede': 0.0748}","{'love': 74.1, 'like': 17.8, 'ok': 3.7, 'dislike': 3.0, 'hate': 1.5}",80.5,71.8,57.4,68.7,44.5,"A for men perfume with vanilla, sweet, amber, cinnamon, warm spicy, powdery, aromatic, soft spicy, caramel accords. Features notes of Pink Pepper, Juniper, Violet. Good for {'winter': 100.0, 'spring': 17.6399, 'summer': 8.65275, 'fall': 80.2805, 'day': 36.976, 'night': 81.1532}."
r17,"{'vanilla': 16.5, 'sweet': 13.2, 'honey': 11.4, 'aromatic': 9.7, 'amber': 9.7, 'lavender': 8.7, 'tobacco': 8.2, 'green': 7.7, 'fresh spicy': 7.4, 'powdery': 7.4}","{'Lavender': 0.1296, 'Mint': 0.1096}","{'Vanilla': 0.2107, 'Benzoin': 0.1054}","{'Honey': 0.1886, 'Tonka Bean': 0.138, 'Tobacco': 0.118}","{'love': 73.5, 'like': 16.2, 'ok': 5.1, 'dislike': 2.9, 'hate': 2.2}",83.2,75.6,60.2,68.6,44,"A for men perfume with vanilla, sweet, honey, aromatic, amber, lavender, tobacco, green, fresh spicy, powdery accords. Features notes of Lavender, Mint. Good for {'winter': 100.0, 'spring': 29.7373, 'summer': 13.652, 'fall': 78.8831, 'day': 38.0347, 'night': 83.1036}."
r19,"{'vanilla': 15.1, 'rum': 13.0, 'sweet': 13.0, 'tropical': 9.8, 'fruity': 9.0, 'white floral': 8.7, 'powdery': 8.4, 'musky': 7.8, 'woody': 7.7, 'fresh': 7.5}","{'Rum': 0.2381, 'Passionfruit': 0.1893}","{'Gardenia': 0.1333, 'Musk': 0.119}","{'Vanille': 0.1869, 'Tonka Bean': 0.1333}","{'love': 29.1, 'like': 49.3, 'ok': 3.9, 'dislike': 17.2, 'hate': 0.5}",8.2,63.3,49.2,64.7,47.9,"A for women perfume with vanilla, rum, sweet, tropical, fruity, white floral, powdery, musky, woody, fresh accords. Features notes of Rum, Passionfruit. Good for {'winter': 86.3066, 'spring': 36.443, 'summer': 26.5139, 'fall': 80.1418, 'day': 54.6099, 'night': 100.0}."
r20,"{'warm spicy': 15.9, 'cinnamon': 12.9, 'citrus': 11.5, 'amber': 9.9, 'woody': 9.6, 'leather': 9.2, 'rose': 8.4, 'animalic': 8.0, 'green': 7.3, 'patchouli': 7.3}","{'Blood Mandarin': 0.0921, 'Grapefruit': 0.0867, 'Mint': 0.0767}","{'Cinnamon': 0.1535, 'Spicy Notes': 0.1082, 'Rose': 0.0944}","{'Amber': 0.1136, 'Leather': 0.1044, 'Woody Notes': 0.0906, 'Indian Patchouli': 0.0798}","{'love': 32.0, 'like': 36.8, 'ok': 7.7, 'dislike': 20.6, 'hate': 2.9}",83,68.8,59.9,71.3,45.7,"A for men perfume with warm spicy, cinnamon, citrus, amber, woody, leather, rose, animalic, green, patchouli accords. Features notes of Blood Mandarin, Grapefruit, Mint. Good for {'winter': 97.239, 'spring': 34.8361, 'summer': 20.2977, 'fall': 82.0751, 'day': 40.261, 'night': 100.0}."
r24,"{'sweet': 14.0, 'warm spicy': 13.7, 'citrus': 11.3, 'amber': 10.2, 'aromatic': 9.7, 'woody': 9.1, 'balsamic': 8.7, 'cinnamon': 8.4, 'patchouli': 7.7, 'lactonic': 7.1}","{'Lemon': 0.1626, 'Sage': 0.0859}","{'Praline': 0.1685, 'Cinnamon': 0.1146, 'Tolu Balsam': 0.091, 'Black Cardamom': 0.0868}","{'Patchouli': 0.1036, 'Brazilian Rosewood': 0.1028, 'Black Amber': 0.0842}","{'love': 39.8, 'like': 42.4, 'ok': 2.1, 'dislike': 15.3, 'hate': 0.4}",81,60.9,47.7,68.1,47.3,"A for men perfume with sweet, warm spicy, citrus, amber, aromatic, woody, balsamic, cinnamon, patchouli, lactonic accords. Features notes of Lemon, Sage. Good for {'winter': 83.2035, 'spring': 49.9134, 'summer': 29.2641, 'fall': 77.013, 'day': 46.8831, 'night': 100.0}."
